timestamp,source_ip,method,status_code,response_time_ms,url
2026-03-26 21:28:58.674910,192.168.1.36,GET,200,429,/index.html
2026-03-31 08:18:58.674910,192.168.1.22,GET,200,1723,/index.html
2026-03-28 04:48:58.674910,10.0.0.12,PUT,200,582,/index.html
2026-03-28 08:07:58.674910,10.0.0.7,GET,200,1969,/cart
2026-03-27 23:04:58.674910,192.168.1.33,GET,200,1036,/cart
2026-03-27 14:13:58.674910,192.168.1.45,POST,500,1627,/index.html
2026-03-31 14:52:58.674910,192.168.1.36,POST,200,1296,/index.html
2026-03-28 20:52:58.674910,192.168.1.20,DELETE,403,808,/login
2026-03-28 01:40:58.674910,192.168.1.18,GET,200,330,/login
2026-03-26 03:56:58.674910,192.168.1.38,GET,200,1640,/api/v1/user
2026-03-30 18:33:58.674910,10.0.0.18,GET,200,1609,/products
2026-03-31 09:49:58.674910,192.168.1.23,GET,200,255,/login
2026-03-27 02:49:58.674910,192.168.1.16,POST,302,1622,/login
2026-03-30 06:05:58.674910,10.0.0.10,GET,200,486,/login
2026-03-28 06:07:58.674910,220.181.38.149,DELETE,200,1292,/login
2026-03-28 10:27:58.674910,10.0.0.19,GET,403,1126,/cart
2026-03-27 11:38:58.674910,192.168.1.21,DELETE,200,1836,/api/v1/user
2026-03-31 02:54:58.674910,157.245.120.88,GET,200,792,/login
2026-03-28 18:43:58.674910,192.168.1.12,POST,200,542,/products
2026-03-29 14:13:58.674910,192.168.1.16,PUT,200,1607,/login
2026-03-27 12:02:58.674910,192.168.1.14,DELETE,200,1372,/cart
2026-03-25 22:12:58.674910,10.0.0.12,GET,200,1957,/index.html
2026-03-25 12:04:58.674910,45.33.21.11,GET,200,1293,/index.html
2026-03-30 04:00:58.674910,192.168.1.46,POST,200,246,/api/v1/user
2026-03-26 11:49:58.674910,192.168.1.32,GET,302,1174,/index.html
2026-03-30 12:31:58.674910,192.168.1.15,GET,302,984,/login
2026-03-30 00:51:58.674910,192.168.1.44,GET,500,1980,/cart
2026-03-25 13:51:58.674910,192.168.1.17,GET,404,1977,/api/v1/user
2026-03-25 00:00:58.674910,192.168.1.41,GET,404,688,/login
2026-03-31 19:29:58.674910,10.0.0.5,GET,302,1513,/index.html?id=<script>alert('XSS')</script>
2026-03-30 01:04:58.674910,192.168.1.44,GET,200,588,/products
2026-03-29 20:33:58.674910,192.168.1.5,GET,200,1383,/login
2026-03-28 17:00:58.674910,192.168.1.27,GET,200,1603,/products
2026-03-30 14:59:58.674910,192.168.1.43,GET,200,1757,/products
2026-03-26 13:44:58.674910,192.168.1.31,GET,403,139,/api/v1/user
2026-03-31 01:31:58.674910,192.168.1.17,PUT,200,1570,/cart
2026-03-30 21:10:58.674910,10.0.0.5,DELETE,200,20,/index.html
2026-03-29 11:22:58.674910,10.0.0.13,DELETE,200,266,/index.html
2026-03-29 05:48:58.674910,192.168.1.32,POST,200,825,/login
2026-03-25 19:20:58.674910,192.168.1.40,GET,200,378,/index.html
2026-03-28 04:45:58.674910,192.168.1.13,POST,200,953,/api/v1/user?id='; DROP TABLE users; --
2026-03-25 20:06:58.674910,192.168.1.35,GET,200,1427,"/index.html?id=union select null, user(), database()"
2026-03-26 02:05:58.674910,192.168.1.5,POST,200,1626,/login
2026-03-26 17:25:58.674910,192.168.1.29,GET,200,1831,/index.html
2026-03-30 03:06:58.674910,157.245.120.88,POST,200,1452,/cart
2026-03-27 01:17:58.674910,192.168.1.25,GET,403,891,/products?id=admin' OR '1'='1
2026-03-25 07:23:58.674910,192.168.1.22,GET,200,28,/products
2026-03-27 14:43:58.674910,10.0.0.17,POST,200,119,/products
2026-03-28 03:12:58.674910,192.168.1.45,GET,500,1470,/cart
2026-03-27 00:19:58.674910,220.181.38.149,GET,200,514,/api/v1/user
2026-03-25 05:28:58.674910,192.168.1.1,GET,200,1067,"/login?id=union select null, user(), database()"
2026-03-31 09:43:58.674910,192.168.1.44,GET,200,1321,/cart
2026-03-26 05:32:58.674910,192.168.1.39,GET,401,1877,/login
2026-03-29 18:06:58.674910,10.0.0.5,PUT,200,1012,/api/v1/user
2026-03-30 20:13:58.674910,192.168.1.29,GET,200,264,/cart
2026-03-29 04:55:58.674910,10.0.0.5,GET,302,647,/index.html
2026-03-26 16:43:58.674910,192.168.1.16,GET,200,1754,/api/v1/user
2026-03-29 19:25:58.674910,192.168.1.20,POST,403,143,/products
2026-03-31 05:37:58.674910,192.168.1.46,POST,200,508,/cart
2026-03-29 06:35:58.674910,10.0.0.18,POST,200,406,/api/v1/user
2026-03-26 09:29:58.674910,10.0.0.16,POST,302,1520,/api/v1/user?id=<script>alert('XSS')</script>
2026-03-25 05:06:58.674910,10.0.0.9,PUT,200,1631,/cart
2026-03-27 04:05:58.674910,10.0.0.4,POST,403,1620,/products
2026-03-28 00:03:58.674910,192.168.1.1,POST,500,1993,/products
2026-03-31 19:57:58.674910,10.0.0.17,GET,200,656,/api/v1/user
2026-03-28 23:01:58.674910,192.168.1.29,POST,404,1846,/login
2026-03-31 06:03:58.674910,157.245.120.88,GET,200,694,/api/v1/user
2026-03-26 15:29:58.674910,192.168.1.8,POST,403,1246,/cart
2026-03-25 08:51:58.674910,192.168.1.29,POST,200,1866,/cart
2026-03-31 05:42:58.674910,10.0.0.2,POST,200,1383,/cart
2026-03-26 11:29:58.674910,192.168.1.33,POST,200,28,/products
2026-03-27 11:19:58.674910,192.168.1.3,GET,200,1020,/index.html
2026-03-26 11:06:58.674910,10.0.0.11,GET,200,128,/cart
2026-03-27 04:15:58.674910,192.168.1.35,GET,404,1848,/cart
2026-03-26 10:42:58.674910,220.181.38.149,PUT,403,311,/login
2026-03-26 00:29:58.674910,192.168.1.20,POST,200,1318,/login
2026-03-31 08:00:58.674910,192.168.1.39,POST,200,236,/api/v1/user
2026-03-25 12:10:58.674910,192.168.1.4,POST,403,1540,/api/v1/user
2026-03-28 13:11:58.674910,192.168.1.19,POST,200,1534,/api/v1/user
2026-03-28 13:39:58.674910,192.168.1.45,PUT,200,1245,/cart
2026-03-27 13:07:58.674910,192.168.1.43,POST,200,365,/login
2026-03-25 23:47:58.674910,192.168.1.13,POST,200,710,/api/v1/user
2026-03-25 21:54:58.674910,192.168.1.13,POST,200,496,/login
2026-03-26 22:30:58.674910,10.0.0.11,GET,302,1354,/cart
2026-03-28 06:42:58.674910,10.0.0.8,POST,200,1696,/cart
2026-03-30 12:16:58.674910,10.0.0.3,GET,200,232,/api/v1/user
2026-03-31 21:34:58.674910,10.0.0.4,GET,404,1673,/cart
2026-03-26 09:12:58.674910,192.168.1.43,POST,200,1793,/cart
2026-03-30 03:50:58.674910,192.168.1.42,GET,200,1596,/login
2026-03-28 03:35:58.674910,192.168.1.26,DELETE,200,1224,/index.html
2026-03-30 12:51:58.674910,192.168.1.23,GET,200,1004,/products
2026-03-30 01:43:58.674910,192.168.1.43,GET,200,509,/api/v1/user
2026-03-25 05:11:58.674910,192.168.1.28,GET,200,1528,/index.html?id=<script>alert('XSS')</script>
2026-03-28 07:00:58.674910,192.168.1.9,GET,200,1270,/api/v1/user
2026-03-28 01:00:58.674910,192.168.1.20,GET,200,1055,/index.html
2026-03-27 06:22:58.674910,10.0.0.7,GET,200,1655,/cart
2026-03-31 16:07:58.674910,192.168.1.39,GET,302,1360,/api/v1/user
2026-03-27 20:26:58.674910,10.0.0.2,GET,200,1578,/index.html
2026-03-29 11:17:58.674910,192.168.1.12,GET,200,1160,/products
2026-03-27 15:34:58.674910,10.0.0.6,POST,404,374,/cart
2026-03-29 18:59:58.674910,192.168.1.11,GET,200,1901,/api/v1/user
2026-03-27 14:00:58.674910,192.168.1.26,POST,200,1077,/api/v1/user
2026-03-26 02:46:58.674910,192.168.1.42,POST,200,528,/index.html
2026-03-29 18:54:58.674910,192.168.1.27,GET,403,1161,/api/v1/user
2026-03-26 22:23:58.674910,192.168.1.11,PUT,200,1636,/cart
2026-03-30 05:44:58.674910,192.168.1.38,POST,200,1163,/login
2026-03-25 16:42:58.674910,192.168.1.43,POST,200,538,/index.html
2026-03-30 01:07:58.674910,192.168.1.19,GET,200,1354,/products
2026-03-26 06:44:58.674910,10.0.0.15,POST,302,195,/api/v1/user
2026-03-25 03:56:58.674910,192.168.1.6,POST,200,1655,/cart?id=<script>alert('XSS')</script>
2026-03-28 10:22:58.674910,192.168.1.46,GET,200,807,/api/v1/user
2026-03-26 07:28:58.674910,192.168.1.42,GET,500,991,/products
2026-03-29 06:38:58.674910,10.0.0.16,GET,200,357,/cart
2026-03-31 05:30:58.674910,10.0.0.10,POST,200,1514,/products?id=../../etc/passwd
2026-03-26 19:33:58.674910,10.0.0.3,GET,200,931,/cart
2026-03-31 14:16:58.674910,192.168.1.47,POST,401,1708,/login
2026-03-27 03:28:58.674910,192.168.1.7,GET,302,1992,/cart
2026-03-25 15:36:58.674910,192.168.1.11,POST,404,1620,/products
2026-03-27 03:00:58.674910,10.0.0.12,GET,200,1744,/index.html
2026-03-28 19:50:58.674910,10.0.0.19,GET,200,1957,/login
2026-03-31 19:12:58.674910,192.168.1.25,GET,200,930,/api/v1/user
2026-03-28 09:04:58.674910,192.168.1.12,GET,403,966,/login
2026-03-27 19:01:58.674910,192.168.1.26,GET,200,370,/login?id='; DROP TABLE users; --
2026-03-26 13:57:58.674910,192.168.1.12,GET,200,1320,/api/v1/user
2026-03-27 01:23:58.675908,192.168.1.43,GET,302,191,/cart
2026-03-30 21:54:58.675908,10.0.0.2,PUT,200,1484,/login
2026-03-26 11:40:58.675908,192.168.1.37,POST,200,106,/login
2026-03-31 08:15:58.675908,192.168.1.46,GET,403,572,/index.html
2026-03-30 00:08:58.675908,10.0.0.4,GET,200,323,/index.html
2026-03-26 19:10:58.675908,192.168.1.13,GET,200,1579,/products
2026-03-25 20:43:58.675908,10.0.0.5,POST,200,964,/api/v1/user
2026-03-28 09:22:58.675908,10.0.0.8,GET,200,30,/cart
2026-03-27 18:19:58.675908,192.168.1.4,GET,200,1729,/cart
2026-03-30 17:21:58.675908,192.168.1.49,GET,200,814,/products
2026-03-26 16:24:58.675908,192.168.1.7,POST,200,585,/cart
2026-03-27 12:24:58.675908,192.168.1.11,GET,404,1530,/cart
2026-03-27 03:46:58.675908,10.0.0.5,POST,200,412,/index.html
2026-03-30 18:40:58.675908,192.168.1.45,GET,200,1157,/cart
2026-03-29 16:36:58.675908,192.168.1.23,GET,200,622,/cart
2026-03-28 17:22:58.675908,192.168.1.28,GET,302,1152,/products
2026-03-31 04:59:58.675908,10.0.0.8,GET,200,1886,/products
2026-03-27 07:30:58.675908,192.168.1.26,GET,401,1623,/login
2026-03-25 01:24:58.675908,192.168.1.25,GET,302,979,/cart
2026-03-29 18:01:58.675908,10.0.0.5,GET,404,702,/cart
2026-03-27 20:03:58.675908,192.168.1.29,GET,302,1744,/cart
2026-03-25 03:29:58.675908,192.168.1.36,GET,200,1510,/index.html
2026-03-30 01:45:58.675908,192.168.1.14,DELETE,401,968,/cart
2026-03-29 10:11:58.675908,192.168.1.35,GET,404,881,/index.html
2026-03-25 07:23:58.675908,192.168.1.30,POST,500,1735,/login
2026-03-28 03:48:58.675908,192.168.1.17,GET,200,849,/api/v1/user
2026-03-30 18:55:58.675908,10.0.0.18,GET,200,112,/cart
2026-03-25 04:37:58.675908,192.168.1.30,GET,200,342,/products
2026-03-28 01:26:58.675908,192.168.1.45,GET,200,1911,/products
2026-03-26 19:26:58.675908,10.0.0.2,GET,302,1820,/cart
2026-03-31 00:52:58.675908,192.168.1.47,GET,500,1492,/index.html
2026-03-27 05:42:58.675908,10.0.0.4,POST,200,1163,/products
2026-03-27 20:54:58.675908,10.0.0.15,GET,403,762,/products
2026-03-25 08:44:58.675908,192.168.1.38,GET,200,143,/login
2026-03-26 17:12:58.675908,10.0.0.15,GET,200,1190,/login
2026-03-25 18:17:58.675908,192.168.1.7,GET,200,434,/login
